firstName,lastName,email,password,role,phoneNumber,address,birthday(year),birthday(month),birthday(day),enabled,salutation,profilePicture
Kyle,Hong Koon Tan,KyleHongKoonTan@gmail.co,53397,STUDENT,93643885,"Blk 290 Serangoon Gardens Street 17, #11-32",1984,12,7,TRUE,MR,
Gilbert,Tan,GilbertTan@gmail.co,43617,STUDENT,91483520,4 Toa Payoh Junction,1981,5,27,TRUE,MR,
Geoffrey,Kwok,GeoffreyKwok@gmail.co,85981,STUDENT,92094051,"Blk 47 Jurong East Street 31, #07-05",1987,12,21,TRUE,MR,
Danish,Ishak,DanishIshak@gmail.co,30120,STUDENT,84784801,"Blk 34 Tampines Street 17, #14-34",1983,9,30,TRUE,MR,
Carter,Liew Boon Keong,CarterLiewBoonKeong@gmail.co,70581,STUDENT,97890917,54 Jalan Arif,1990,1,7,TRUE,MR,
Angus,Khim,AngusKhim@gmail.co,65605,STUDENT,96185467,"Blk 23 Pasir Ris Street 33, #04-02",1985,10,14,TRUE,MR,
Xavier,Ang,XavierAng@gmail.co,30757,STUDENT,99141209,24 Bencoolen Gate,1984,3,28,TRUE,MR,
Christian,Leng,ChristianLeng@gmail.co,94105,STUDENT,90345465,53 Telok Blangah Garden,1981,11,1,TRUE,MR,
Wallace,To,WallaceTo@gmail.co,18417,STUDENT,88816398,76 Jalan Mahir,1981,10,26,TRUE,MR,
Ryley,Tan,RyleyTan@gmail.co,75797,STUDENT,99784267,67 Jalan Dermawan,1987,10,14,TRUE,MR,
Taylor,Ee,TaylorEe@gmail.co,49745,STUDENT,92106005,"Blk 42 Boon Lay Street 79, #13-43",1982,9,6,TRUE,MR,
Brandon,Teo,BrandonTeo@gmail.co,42398,STUDENT,91447148,"20 Mattar Gate, #10-36",1982,11,3,TRUE,MR,
Kenneth,Lim,KennethLim@gmail.co,59836,STUDENT,97908387,6 Pasir Ris Court,1980,1,23,TRUE,MR,
Cedrick,Loy,CedrickLoy@gmail.co,76792,STUDENT,94351417,"Blk 35 Lorong 5 Chong Boon, #03-38",1990,3,2,TRUE,MR,
Vernon,Chai,VernonChai@gmail.co,82784,STUDENT,94788372,"Blk 100 Potong Pasir Avenue, #04-35",1991,3,1,TRUE,MR,
Joesph,Sim,JoesphSim@gmail.co,43959,STUDENT,97369508,8 Somerset Drive,1991,9,8,TRUE,MR,
Howard,Neo Wenjie,HowardNeoWenjie@gmail.co,30270,STUDENT,95492394,"Blk 290 Geylang Street 16, #11-05",1984,4,20,TRUE,MR,
Hugh,Yeo,HughYeo@gmail.co,75669,STUDENT,90998523,"Blk 10 Bukit Merah Street 86, #18-43",1983,11,10,TRUE,MR,
Roderick,Neo,RoderickNeo@gmail.co,29191,STUDENT,99854108,39 Joo Koon Hill,1989,1,11,TRUE,MR,
Cathy,Kok,CathyKok@gmail.co,39298,STUDENT,95904927,"Blk 44 Jurong Central Street 74, #06-06",1981,11,25,TRUE,MS,
Zubaidah,Nasir,ZubaidahNasir@gmail.co,86847,STUDENT,82284791,"Blk 34 Woodlands Street 38, #05-38",1987,2,5,TRUE,MS,
Daphne,Tan,DaphneTan@gmail.co,76793,STUDENT,92910990,"46 Joo Koon Green, #14-17",1991,10,16,TRUE,MS,
Chen,Siew Mee,ChenSiewMee@gmail.co,24052,STUDENT,92813613,Blk 181 Bukit Ho Swee Park,1992,5,24,TRUE,MS,
Dakota,Tan,DakotaTan@gmail.co,97234,STUDENT,90405763,"Blk 277 Geylang East Street 83, #05-17",1989,2,18,TRUE,MS,
Alvira,Lim,AlviraLim@gmail.co,72125,STUDENT,86573563,"Blk 25 Jurong West Street 89, #12-32",1990,9,5,TRUE,MS,
Zoe,To,ZoeTo@gmail.co,97342,STUDENT,87513475,"Blk 205 Bukit Panjang Street 77, #06-29",1992,12,5,TRUE,MS,
Chee,Pek Har Desiree,CheePekHarDesiree@gmail.co,14577,STUDENT,96154060,"Blk 346 Boon Lay Street 20, #18-26",1983,7,6,TRUE,MS,
Mariam,Rashid,MariamRashid@gmail.co,84722,STUDENT,96038181,"Blk 43 Hougang Street 84, #17-07",1992,8,29,TRUE,MS,
Nella,Liew,NellaLiew@gmail.co,83838,STUDENT,93685230,Blk 106 Tiong Bahru Park,1988,5,28,TRUE,MS,
Eunice,Chai,EuniceChai@gmail.co,32818,STUDENT,85210512,"5 Kallang Circle, #01-25",1983,6,3,TRUE,MS,
Tan,Chun Lan,TanChunLan@gmail.co,32690,STUDENT,94814223,5 Kembangan Point,1988,6,8,TRUE,MS,
Angeline,Khim Ji Lien,AngelineKhimJiLien@gmail.co,46340,STUDENT,93626295,77 Jalan Nallur,1981,2,2,TRUE,MS,
Tong,Goay Ee Nayeli,TongGoayEeNayeli@gmail.co,68339,STUDENT,95483468,"Blk 32 Lorong 1 Geylang, #05-42",1985,8,25,TRUE,MS,
Rachel,Kwok,RachelKwok@gmail.co,76908,STUDENT,97094098,"Blk 432 Sengkang Street 37, #09-21",1986,8,20,TRUE,MS,
Aisha,Sng,AishaSng@gmail.co,28041,STUDENT,92012211,"Blk 181 Jurong East Street 34, #13-24",1980,5,30,TRUE,MS,
Sherilyn,Foo,SherilynFoo@gmail.co,71500,STUDENT,97225505,"12 Innova Avenue North, #18-04",1989,11,7,TRUE,MS,
Zainab,Mohamad,ZainabMohamad@gmail.co,48250,STUDENT,95551286,"Blk 192 Jurong East Street 70, #15-31",1980,6,4,TRUE,MS,
Lau,Chai Ling,LauChaiLing@gmail.co,46751,STUDENT,85613761,"Blk 364 Lorong 5 Aljunied, #04-12",1986,5,15,TRUE,MS,
Lee,Puay Sian Julia,LeePuaySianJulia@gmail.co,77938,STUDENT,91371039,"3 Bukit Timah Hill, #02-29",1984,4,23,TRUE,MS,
Gabriella,Chan Lai Hah,GabriellaChanLaiHah@gmail.co,69609,STUDENT,85122026,4 Jalan Pelatok,1988,1,30,TRUE,MS,
Leah,Lye Hui Sian,LeahLyeHuiSian@gmail.co,39799,STUDENT,93950583,"9 Tanjong Pagar Walk, #16-11",1990,7,27,TRUE,MS,
Mariah,Nasar,MariahNasar@gmail.co,53625,STUDENT,94026222,"Blk 381 Bedok Street 26, #12-42",1980,10,27,TRUE,MS,
Georgina,Shum,GeorginaShum@gmail.co,49861,STUDENT,97309409,"Blk 389 Lorong 3 Tanjong Pagar, #13-31",1991,5,28,TRUE,MS,
Chen,Min Qi,ChenMinQi@gmail.co,60578,STUDENT,99093527,"5 Bencoolen Hill, #15-23",1981,7,2,TRUE,MS,
Azusa,Chan,AzusaChan@gmail.co,42666,STUDENT,87891244,"Blk 361 Clementi Street 20, #06-40",1985,12,21,TRUE,MS,
Preeti,Lam Lee Meng,PreetiLamLeeMeng@gmail.co,90354,STUDENT,96116345,"Blk 46 Lorong 11 Pasir Ris, #08-03",1986,1,7,TRUE,MS,
Helen,Kumar,HelenKumar@gmail.co,58854,STUDENT,99196333,46 Jalan Gapis,1992,7,23,TRUE,MS,
Hanna,Kee,HannaKee@gmail.co,63683,STUDENT,96367009,7 Jalan Rengas,1992,12,1,TRUE,MS,
Margaret,Sadasivan,MargaretSadasivan@gmail.co,89039,STUDENT,82649105,79 Joo Koon Lane,1990,9,20,TRUE,MS,
Alexis,Khoo,AlexisKhoo@gmail.co,96746,STUDENT,89996596,"Blk 170 Boon Lay Street 30, #12-29",1986,4,21,TRUE,MS,
Nelle,Kee,NelleKee@gmail.co,72241,STUDENT,87686288,"Blk 316 Clementi Street 85, #11-23",1987,12,30,TRUE,MS,
Dana,Gan,DanaGan@gmail.co,58500,STUDENT,91278218,"Blk 313 Lorong 8 Watten, #14-43",1980,3,6,TRUE,MS,
Sophia,Lin Geok Kim,SophiaLinGeokKim@gmail.co,18623,STUDENT,96763067,"Blk 25 Marine Parade Street 81, #05-11",1987,10,24,TRUE,MS,
Serena,Tong,SerenaTong@gmail.co,57709,STUDENT,90761972,"Blk 334 Jurong Central Street 21, #04-34",1981,9,8,TRUE,MS,
Nasuha,Toh,NasuhaToh@gmail.co,80740,STUDENT,92337743,"4 Potong Pasir Terrace, #12-21",1983,12,9,TRUE,MS,
Regina,Cheng,ReginaCheng@gmail.co,14704,STUDENT,98338283,"Blk 166 Clementi Street 87, #08-39",1985,5,14,TRUE,MS,
Christine,Teoh,ChristineTeoh@gmail.co,33707,STUDENT,92562598,"8 Boon Keng Court, #02-10",1988,11,11,TRUE,MS,
Adrienne,Ng,AdrienneNg@gmail.co,12956,STUDENT,95458982,"7 Balestier Green, #12-45",1986,8,23,TRUE,MS,
Samihah,Firdaus,SamihahFirdaus@gmail.co,66279,STUDENT,99405068,"Blk 438 Jurong West Street 27, #10-20",1991,12,24,TRUE,MS,
Claudia,Kang,ClaudiaKang@gmail.co,31280,STUDENT,94110335,"Blk 29 Lorong 6 Bukit Merah, #07-41",1985,9,12,TRUE,MS,
Adrienne,Tong,AdrienneTong@gmail.co,61950,STUDENT,94883565,"Blk 28 Lorong 15 Sennett, #02-38",1990,7,22,TRUE,MS,
Afiqah,Wahid,AfiqahWahid@gmail.co,90395,STUDENT,90102185,"Blk 370 Jurong East Street 28, #13-34",1981,12,22,TRUE,MS,
Leng,Yen Ling Charlotte,LengYenLingCharlotte@gmail.co,38240,STUDENT,82180722,52 Rochor Field,1987,6,11,TRUE,MS,
Cherilyn,Chew,CherilynChew@gmail.co,42881,STUDENT,96777469,"Blk 412 Tampines Street 14, #16-32",1982,3,21,TRUE,MS,
Poon,Li Khoon,PoonLiKhoon@gmail.co,37976,STUDENT,83397613,"69 Woodgrove Circle, #10-28",1992,6,3,TRUE,MS,
Beatrice,Fu,BeatriceFu@gmail.co,58947,STUDENT,89305748,"Blk 162 Lorong 6 Boon Keng, #14-42",1992,4,26,TRUE,MS,
Lelia,Lye Siew Hoon,LeliaLyeSiewHoon@gmail.co,83660,STUDENT,92660494,"Blk 280 Lorong 4 Bedok, #05-01",1988,10,9,TRUE,MS,
Selena,Kok,SelenaKok@gmail.co,96048,STUDENT,83493027,71 Kallang Drive,1982,1,10,TRUE,MS,
Alexandra,Au,AlexandraAu@gmail.co,32266,STUDENT,96114988,6 Buona Vista Lane,1991,3,18,TRUE,MS,
Cher Wah,Tan,cherwah@gmail.co,CherWah,LECTURER,88223466,1 Cher Wah Lane,1993,4,25,TRUE,MR,
Tri Tin,Nguyen,tin@gmail.co,TriTin,LECTURER,85076369,2 Tri Tin Lane,1980,3,6,TRUE,MR,
Yuen Kwan,Chia,chiaYK@gmail.co,Yuen Kwan,LECTURER,99089018,3 YK Road,1983,6,3,TRUE,MR,
Suriya,kanthan,Suriya@gmail.co,Suriya,LECTURER,84269646,4 Suriya Ave,1982,1,10,TRUE,MS,
Fan,Liu,liufan@gmail.co,Fan,LECTURER,97647350,5 Fan street,1980,3,6,TRUE,MS,
Felicitas,Tan,Felicitas@gmail.co,Felicitas,LECTURER,86419176,6 Felicitas Ave,1981,10,26,TRUE,MS,
Boon Kee,Lee,boonkee@gmail.co,Boon Kee,LECTURER,94720536,7 Boon Kee Corner,1986,1,7,TRUE,MR,
Ronnie,Fun,ronyfun@hotmail.co,12345,STUDENT,94720536,7 Boon Kee Corner,1986,1,7,TRUE,MR,
Brandon,Chia ,branchia1991@gmail.com,brandonchia,ADMIN,98765432,123 ABC Road,1991,10,22,TRUE,MR,
